IEA fossil fuel subsidies database;;;;;;;;;;;;;;;;
© 2025 IEA;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Unit: Real 2024 million USD;;;;;;;;;;;;;;;;
;;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Total;All Products;455 728;525 340;578 662;520 140;465 490;371 465;325 615;359 967;500 916;417 297;261 741;592 192;1 194 939;635 963;598 460
Oil;Oil;184 025;256 061;292 800;268 992;233 417;146 757;110 336;151 716;199 555;189 283;124 112;186 373;328 030;228 654;241 006
Electricity;Electricity;153 205;156 544;153 378;133 167;128 291;130 861;153 994;139 967;180 651;151 860;76 965;222 249;450 952;221 617;177 973
Gas;Natural Gas;115 256;109 452;128 628;115 806;102 337;92 476;59 187;65 514;117 637;73 573;58 392;179 034;405 984;183 359;177 226
Coal;Coal;3 242;4 403;3 857;2 175;1 446;1 371;2 098;2 771;3 074;2 581;2 273;4 536;9 973;2 332;2 255
;;;;;;;;;;;;;;;;
Country;Product;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Algeria;Oil;9 986,3;10 152,0;12 729,4;13 912,2;12 861,7;8 819,7;4 870,8;6 245,8;11 963,9;11 314,6;6 980,5;10 771,7;17 118,8;12 922,6;12 071,1
Algeria;Electricity;1 701,7;1 913,0;2 318,9;2 808,7;2 887,9;2 953,3;1 930,6;2 738,6;4 341,1;2 777,9;1 880,1;7 974,8;16 836,0;5 464,8;4 600,9
Algeria;Gas;2 743,4;3 301,0;3 803,0;3 519,8;2 945,1;2 701,0;1 724,8;2 322,3;4 647,7;2 503,4;1 483,9;9 841,8;25 595,4;9 140,3;7 137,7
Algeria;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Algeria;Total;14 431,5;15 365,9;18 851,3;20 240,6;18 694,7;14 474,0;8 526,3;11 306,6;20 952,6;16 595,8;10 344,5;28 588,3;59 550,1;27 527,8;23 809,7
Angola;Oil;827,5;857,4;954,9;1 387,5;1 335,5;27,7;2,3;5,4;1 312,2;1 218,7;1 392,7;3 065,1;2 763,2;3 549,7;2 377,3
Angola;Electricity;220,3;272,5;368,5;422,0;218,9;138,5;485,9;187,9;521,5;379,8;916,2;1 510,2;1 552,7;1 436,1;909,9
Angola;Gas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Angola;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Angola;Total;1 047,8;9,0;1 323,4;1 809,5;1 554,5;166,2;488,2;193,3;1 833,7;1 598,5;2 308,9;4 575,3;4 315,8;4 985,9;3 287,2
Argentina;Oil;2 297,8;2 840,3;1 477,5;2 017,2;3 072,3;2 672,0;2 529,2;2 932,4;3 845,1;4 073,2;2 843,0;5 281,5;8 787,1;602,2;819,0
Argentina;Electricity;4 357,0;5 274,0;5 530,9;6 818,3;6 539,1;4 062,6;2 179,1;614,4;1 070,7;-;712,0;5 930,9;4 637,1;4 501,7;1 176,5
Argentina;Gas;4 077,0;5 461,0;4 841,3;5 643,4;4 696,0;2 884,6;623,4;531,4;1 769,5;1 515,1;114,3;6 041,8;7 325,6;3 996,4;94,7
Argentina;Coal;0,0;-;-;0,8;0,6;0,2;1,3;1,3;2,6;-;1,4;2,5;2,5;6,2;-
Argentina;Total;10 731,8;13 575,3;11 849,7;14 479,7;14 308,1;9 619,4;5 332,9;4 079,5;6 688,0;5 588,4;3 670,7;17 256,7;20 752,3;9 106,6;2 090,2
Azerbaijan;Oil;193,5;671,4;799,4;971,4;254,0;22,4;381,5;1 044,1;1 695,8;1 418,6;454,7;658,9;1 681,5;1 499,5;868,8
Azerbaijan;Electricity;364,5;416,1;494,7;599,9;457,8;745,6;981,8;1 064,5;1 344,6;660,4;363,6;2 187,1;3 792,6;1 594,3;1 457,4
Azerbaijan;Gas;646,5;836,8;811,8;834,2;679,1;713,5;773,5;816,8;1 174,9;717,8;451,3;2 608,7;4 626,7;1 989,3;1 826,8
Azerbaijan;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Azerbaijan;Total;1 204,5;1 924,3;2 105,9;2 405,6;1 390,8;1 481,5;2 136,8;2 925,4;4 215,3;2 796,8;1 269,5;5 454,7;10 100,7;5 083,0;4 153,1
Bahrain;Oil;695,0;854,9;938,8;893,4;870,5;498,1;175,0;278,6;361,7;252,7;42,6;295,6;539,8;404,0;331,5
