Entity,Code,Year,Per capita electricity use
China,CHN,2000,1067.7537
China,CHN,2001,1158.0206
China,CHN,2002,1285.3
China,CHN,2003,1475.9014
China,CHN,2004,1692.12
China,CHN,2005,1908.5559
China,CHN,2006,2174.2053
China,CHN,2007,2475.1143
China,CHN,2008,2620.8613
China,CHN,2009,2766.9102
China,CHN,2010,3112.8145
China,CHN,2011,3464.8174
China,CHN,2012,3641.8137
China,CHN,2013,3938.795
China,CHN,2014,4174.8203
China,CHN,2015,4164.7715
China,CHN,2016,4368.184
China,CHN,2017,4676.1904
China,CHN,2018,5050.102
China,CHN,2019,5271.038
China,CHN,2020,5454.762
China,CHN,2021,5982.92
China,CHN,2022,6208.839
China,CHN,2023,6647.371
China,CHN,2024,7106.8335
China,CHN,2025,7473.617
Europe,OWID_EUR,2000,5971.3223
Europe,OWID_EUR,2001,6084.4053
Europe,OWID_EUR,2002,6120.422
Europe,OWID_EUR,2003,6247.4517
Europe,OWID_EUR,2004,6366.301
Europe,OWID_EUR,2005,6455.236
Europe,OWID_EUR,2006,6562.651
Europe,OWID_EUR,2007,6634.236
Europe,OWID_EUR,2008,6674.6504
Europe,OWID_EUR,2009,6335.6343
Europe,OWID_EUR,2010,6601.1987
Europe,OWID_EUR,2011,6539.9907
Europe,OWID_EUR,2012,6571.8174
Europe,OWID_EUR,2013,6505.8647
Europe,OWID_EUR,2014,6382.323
Europe,OWID_EUR,2015,6416.6216
Europe,OWID_EUR,2016,6466.5977
Europe,OWID_EUR,2017,6474.0327
Europe,OWID_EUR,2018,6491.7974
Europe,OWID_EUR,2019,6419.248
Europe,OWID_EUR,2020,6204.1597
Europe,OWID_EUR,2021,6487.9067
Europe,OWID_EUR,2022,6314.259
Europe,OWID_EUR,2023,6099.6606
Europe,OWID_EUR,2024,6230.364
Europe,OWID_EUR,2025,6203.1577
