"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SUB_TYPE","FFS","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"IMF.STA:FFS(1.0.2)","MYS.IM.COA.USQ2021.A","OBS_VALUE","Malaysia","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","7.201010396","8.098257782","8.921179718","9.991057368","9.524669936","10.09051175","9.61733086","7.767387953","7.916459821","8.724462349","9.844691977","10.71066807","10.65809948","10.77217133","10.51092637","9.832607993","9.104785359","8.416758798","7.723219592","7.586616328","7.7295859"
"IMF.STA:FFS(1.0.2)","TJK.IM.COA.USQ2021.A","OBS_VALUE","Tajikistan, Republic of","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.1378053","0.187030383","0.232464443","0.278304784","0.308841826","0.335102271","0.349220138","0.377066858","0.376314998","0.378099477","0.386502411","0.358184518","0.332142491","0.316757814","0.31372062","0.31780812","0.326953177","0.347807419","0.37168071","0.397942086","0.425024609"
"IMF.STA:FFS(1.0.2)","PRT.IM.COA.USQ2021.A","OBS_VALUE","Portugal","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","1.001107299","0.901646569","1.059640015","0.825633194","0.359883777","0.162665047","0.058964661","0.001181475","0.000945378","0.155628472","0.149754652","0.158403724","0.157668532","0.156099649","0.156371954","0.157200799","0.157567665","0.158890239","0.160332508","0.161750636","0.16306584"
"IMF.STA:FFS(1.0.2)","DOM.IM.COA.USQ2021.A","OBS_VALUE","Dominican Republic","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.228706377","0.24663083","0.254117127","0.270717915","0.3970147","0.709632279","0.716838764","0.97513639","0.977128516","0.996291585","1.05699323","1.043939538","1.079579138","1.153462817","1.288658194","1.459919298","1.510588074","1.567580792","1.626505055","1.687383533","1.747603252"
"IMF.STA:FFS(1.0.2)","UKR.IM.COA.USQ2021.A","OBS_VALUE","Ukraine","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","16.023637","16.43641449","13.5286437","18.30249152","16.58977344","14.1167243","13.4161065","6.590565842","6.782865989","6.813759058","8.478280464","9.537255224","10.28332363","10.92349197","11.53500733","12.24203752","12.94522391","13.66764633","14.40000069","15.13837215","15.87807202"
"IMF.STA:FFS(1.0.2)","HUN.IM.COA.USQ2021.A","OBS_VALUE","Hungary","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","1.602605798","1.688271473","2.00191376","1.667428702","1.213170252","0.992416394","0.801197992","0.42816266","0.413192493","0.473468793","0.482951307","0.489192503","0.496937403","0.505695306","0.514270746","0.521798909","0.529323136","0.536775125","0.544146028","0.551432716","0.558627728"
"IMF.STA:FFS(1.0.2)","KOR.IM.COA.USQ2021.A","OBS_VALUE","Korea, Republic of","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","24.22663701","22.76953684","23.63520579","19.99599719","18.39574702","17.54646292","18.68839764","17.97509658","21.5464549","25.20314201","25.75296435","25.23279216","25.9426566","26.20816898","26.79330425","27.70603284","27.15008886","26.82907578","26.47044816","26.11110393","25.75243109"
"IMF.STA:FFS(1.0.2)","NPL.IM.COA.USQ2021.A","OBS_VALUE","Nepal","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.318324877","0.360607322","0.408084421","0.5344174","0.665753551","0.771760948","0.770392636","0.821786737","0.836778204","0.937423647","1.05812147","1.122222112","1.19004332","1.272084513","1.364954184","1.475389109","1.595925372","1.727575896","1.871458251","2.028724964","2.200668568"
"IMF.STA:FFS(1.0.2)","LKA.IM.COA.USQ2021.A","OBS_VALUE","Sri Lanka","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.535221649","0.590580179","0.62537991","0.645406927","0.722974584","0.734271497","0.745724585","0.590913222","0.674321567","0.730010353","0.667281887","0.658775428","0.639010659","0.614780178","0.623639994","0.63196135","0.63963689","0.61937348","0.592437834","0.566187724","0.540775556"
"IMF.STA:FFS(1.0.2)","ARM.IM.COA.USQ2021.A","OBS_VALUE","Armenia, Republic of","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.0031831","0.002768797","0.001648786","0.005683784","0.013434757","0.033381897","0.053424834","0.052080151","0.055339866","0.062406922","0.068742086","0.071419972","0.074079794","0.077196284","0.080420524","0.083584144","0.086854987","0.090239144","0.093740238","0.097353867","0.101079129"
